year,temperature(c)
1901-01, 26.244
1902-01, 26.2271
1903-01, 26.2457
1904-01, 26.1728
1905-01, 26.261
1906-01, 26.283
1907-01, 26.244
1908-01, 26.244
1909-01, 26.244
1910-01, 26.2457
1911-01, 26.444
1912-01, 27.8779
1913-01, 27.0271
1914-01, 27.0271
1915-01, 27.1864
1916-01, 26.8322
1917-01, 26.344
1918-01, 25.005
1919-01, 27.3864
1920-01, 26.9271
1921-01, 26.9271
1922-01, 27.583
1923-01, 26.7372
1924-01, 27.3864
1925-01, 26.544
1926-01, 26.544
1927-01, 26.7372
1928-01, 26.9271
1929-01, 26.544
1930-01, 26.8322
1931-01, 27.2864
1932-01, 26.344
1933-01, 26.644
1934-01, 25.3983
1935-01, 27.022
1936-01, 27.0915
1937-01, 27.1864
1938-01, 26.9271
1939-01, 26.9338
1940-01, 27.1728
1941-01, 27.2915
1942-01, 26.2372
1943-01, 26.2271
1944-01, 26.2457
1945-01, 26.244
1946-01, 26.244
1947-01, 26.3898
1948-01, 26.5457
1949-01, 27.5711
1950-01, 27.3864
1951-01, 25.6457
1952-01, 26.4186
1953-01, 26.4915
1954-01, 26.4338
1955-01, 25.8559
1956-01, 25.5576
1957-01, 26.244
1958-01, 26.844
1959-01, 26.4423
1960-01, 26.3254
1961-01, 26.1271
1962-01, 25.8423
1963-01, 25.6966
1964-01, 26.744
1965-01, 25.8288
1966-01, 26.2288
1967-01, 26.0305
1968-01, 25.944
1969-01, 26.6322
1970-01, 26.261
1971-01, 25.3762
1972-01, 25.644
1973-01, 26.4118
1974-01, 25.3983
1975-01, 26.2322
1976-01, 25.7237
1977-01, 26.4389
1978-01, 26.4389
1979-01, 26.644
1980-01, 26.644
1981-01, 26.0949
1982-01, 26.444
1983-01, 26.9745
1984-01, 26.0254
1985-01, 27.0915
1986-01, 26.2254
1987-01, 26.0593
1988-01, 27.2847
1989-01, 26.9627
1990-01, 26.722
1991-01, 27.205
1992-01, 27.0898
1993-01, 26.744
1994-01, 27.3542
1995-01, 27.2661
1996-01, 26.7152
1997-01, 27.4966
1998-01, 27.6745
1999-01, 27.1254
2000-01, 26.8254
2001-01, 26.9915
2002-01, 27.4728
2003-01, 27.2288
2004-01, 27.4152
2005-01, 27.1338
2006-01, 27.0288
2007-01, 27.0237
2008-01, 27.3271
2009-01, 27.2677
2010-01, 27.944
2011-01, 26
2012-01, 27.0169
2013-01, 27.1796
2014-01, 26.444
2015-01, 26.7322
