year,temperature_prediction(c)
1982.000000, 27.2419
1983.000000, 27.271
1984.000000, 27.3
1985.000000, 27.3291
1986.000000, 27.3581
1987.000000, 27.3872
1988.000000, 27.4162
1989.000000, 27.4452
1990.000000, 27.4743
1991.000000, 27.5033
1992.000000, 27.5324
1993.000000, 27.5614
1994.000000, 27.5905
1995.000000, 27.6195
1996.000000, 27.6485
1997.000000, 27.6776
1998.000000, 27.7066
1999.000000, 27.7357
2000.000000, 27.7647
2001.000000, 27.7937
2002.000000, 27.8228
2003.000000, 27.8518
2004.000000, 27.8809
2005.000000, 27.9099
2006.000000, 27.939
2007.000000, 27.968
2008.000000, 27.997
2009.000000, 28.0261
2010.000000, 28.0551
2011.000000, 28.0842
2012.000000, 28.1132
2013.000000, 28.1423
2014.000000, 28.1713
2015.000000, 28.2003
2016.000000, 28.2294
2017.000000, 28.2584
2018.000000, 28.2875
