years,temperature(C)
1982.000000, 27.2337
1983.000000, 27.2562
1984.000000, 27.2788
1985.000000, 27.3013
1986.000000, 27.3239
1987.000000, 27.3464
1988.000000, 27.369
1989.000000, 27.3915
1990.000000, 27.4141
1991.000000, 27.4366
1992.000000, 27.4591
1993.000000, 27.4817
1994.000000, 27.5042
1995.000000, 27.5268
1996.000000, 27.5493
1997.000000, 27.5719
1998.000000, 27.5944
1999.000000, 27.617
2000.000000, 27.6395
2001.000000, 27.6621
2002.000000, 27.6846
2003.000000, 27.7071
2004.000000, 27.7297
2005.000000, 27.7522
2006.000000, 27.7748
2007.000000, 27.7973
2008.000000, 27.8199
2009.000000, 27.8424
2010.000000, 27.865
2011.000000, 27.8875
2012.000000, 27.9101
2013.000000, 27.9326
2014.000000, 27.9551
2015.000000, 27.9777
2016.000000, 28.0002
2017.000000, 28.0228
2018.000000, 28.0453
2019.000000, 28.0679
2020.000000, 28.0904
2021.000000, 28.113
2022.000000, 28.1355
2023.000000, 28.1581
2024.000000, 28.1806
2025.000000, 28.2031
2026.000000, 28.2257
2027.000000, 28.2482
2028.000000, 28.2708
2029.000000, 28.2933
2030.000000, 28.3159
2031.000000, 28.3384
2032.000000, 28.361
2033.000000, 28.3835
2034.000000, 28.4061
2035.000000, 28.4286
2036.000000, 28.4511
2037.000000, 28.4737
2038.000000, 28.4962
2039.000000, 28.5188
2040.000000, 28.5413
2041.000000, 28.5639
2042.000000, 28.5864
2043.000000, 28.609
2044.000000, 28.6315
2045.000000, 28.6541
2046.000000, 28.6766
2047.000000, 28.6991
2048.000000, 28.7217
2049.000000, 28.7442
