year,temperature(c)
1982.083333, 26.444
1982.166667, 27.4474
1982.250000, 27.4288
1982.333333, 27.2576
1982.416667, 28.0491
1982.500000, 28.1542
1982.583333, 27.9627
1982.666667, 27.7016
1982.750000, 27.9694
1982.833333, 27.5779
1982.916667, 27.7661
1983.000000, 26.8644
1983.083333, 26.9745
1983.166667, 28.4406
1983.250000, 29.0661
1983.333333, 28.6406
1983.416667, 28.3728
1983.500000, 28.1593
1983.583333, 27.444
1983.666667, 27.7305
1983.750000, 27.1711
1983.833333, 27.8305
1983.916667, 27.122
1984.000000, 26.0254
1984.083333, 26.0254
1984.166667, 26.1661
1984.250000, 26.7254
1984.333333, 27.5135
1984.416667, 27.3728
1984.500000, 27.4033
1984.583333, 27.022
1984.666667, 27.3627
1984.750000, 26.8762
1984.833333, 27.2372
1984.916667, 26.7576
1985.000000, 26.3237
1985.083333, 27.0915
1985.166667, 27.3542
1985.250000, 27.2983
1985.333333, 27.7101
1985.416667, 28.0508
1985.500000, 28.0406
1985.583333, 26.8237
1985.666667, 27.6915
1985.750000, 27.0593
1985.833333, 26.9474
1985.916667, 27.0864
1986.000000, 26.7305
1986.083333, 26.2254
1986.166667, 27.2033
1986.250000, 26.6559
1986.333333, 27.6169
1986.416667, 28.2033
1986.500000, 27.7169
1986.583333, 27.661
1986.666667, 28.2186
1986.750000, 26.8694
1986.833333, 27.1406
1986.916667, 27.0915
1987.000000, 26.9033
1987.083333, 26.0593
1987.166667, 26.9881
1987.250000, 27.722
1987.333333, 28.1067
1987.416667, 27.6796
1987.500000, 28.5135
1987.583333, 27.9338
1987.666667, 27.4576
1987.750000, 27.7406
1987.833333, 27.9949
1987.916667, 27.7881
1988.000000, 26.9661
1988.083333, 27.2847
1988.166667, 27.461
1988.250000, 27.5372
1988.333333, 28.0118
1988.416667, 28.4457
1988.500000, 27.8525
1988.583333, 27.1338
1988.666667, 27.0694
1988.750000, 27.2694
1988.833333, 27.6372
1988.916667, 26.8406
1989.000000, 26.7423
1989.083333, 26.9627
1989.166667, 26.922
1989.250000, 26.5694
1989.333333, 27.2237
1989.416667, 27.4101
1989.500000, 27.3711
1989.583333, 27.522
1989.666667, 27.1949
1989.750000, 27.0627
1989.833333, 27.3254
1989.916667, 27.2152
1990.000000, 26.8915
1990.083333, 26.722
1990.166667, 26.6915
1990.250000, 28.3372
1990.333333, 28.6271
1990.416667, 28.5864
1990.500000, 28.1254
1990.583333, 27.322
1990.666667, 27.9762
1990.750000, 27.3796
1990.833333, 27.7237
1990.916667, 27.6694
1991.000000, 26.9305
1991.083333, 27.205
1991.166667, 27.4355
1991.250000, 27.9728
1991.333333, 27.9305
1991.416667, 27.7932
1991.500000, 28.4593
1991.583333, 28.2949
1991.666667, 28.1254
1991.750000, 27.6576
1991.833333, 27.7135
1991.916667, 26.8084
1992.000000, 26.2355
1992.083333, 27.0898
1992.166667, 27.7728
1992.250000, 28.3779
1992.333333, 28.6372
1992.416667, 28.1745
1992.500000, 27.8762
1992.583333, 27.1338
1992.666667, 27.8322
1992.750000, 27.4169
1992.833333, 27.5576
1992.916667, 26.6084
1993.000000, 26.1474
1993.083333, 26.744
1993.166667, 27.0728
1993.250000, 26.9389
1993.333333, 27.8033
1993.416667, 28.244
1993.500000, 28.2067
1993.583333, 27.7338
1993.666667, 28.5338
1993.750000, 27.9627
1993.833333, 27.6779
1993.916667, 27.3152
1994.000000, 27.0983
1994.083333, 27.3542
1994.166667, 27.3694
1994.250000, 27.0271
1994.333333, 28.0762
1994.416667, 28.1186
1994.500000, 27.9016
1994.583333, 28.1677
1994.666667, 28.0728
1994.750000, 28.3016
1994.833333, 27.9949
1994.916667, 27.2101
1995.000000, 27.422
1995.083333, 27.2661
1995.166667, 26.8593
1995.250000, 27.7881
1995.333333, 28.0847
1995.416667, 28.5457
1995.500000, 28.6627
1995.583333, 27.7949
1995.666667, 27.4525
1995.750000, 28.3457
1995.833333, 27.9847
1995.916667, 27.5169
1996.000000, 26.8118
1996.083333, 26.7152
1996.166667, 26.8576
1996.250000, 27.8728
1996.333333, 28.0186
1996.416667, 28.5542
1996.500000, 28.1661
1996.583333, 28.0932
1996.666667, 27.4644
1996.750000, 27.8542
1996.833333, 27.7101
1996.916667, 27.7644
1997.000000, 27.1254
1997.083333, 27.4966
1997.166667, 27.6457
1997.250000, 28.2406
1997.333333, 28.2423
1997.416667, 29.2169
1997.500000, 29.0576
1997.583333, 28.5355
1997.666667, 28.7576
1997.750000, 27.8033
1997.833333, 28.2932
1997.916667, 28.1898
1998.000000, 27.8254
1998.083333, 27.6745
1998.166667, 28.6966
1998.250000, 28.722
1998.333333, 28.3135
1998.416667, 29.4423
1998.500000, 28.4389
1998.583333, 27.9474
1998.666667, 27.5593
1998.750000, 28.044
1998.833333, 28.2355
1998.916667, 28.3033
1999.000000, 27.1932
1999.083333, 27.1254
1999.166667, 27.5406
1999.250000, 27.3423
1999.333333, 28.4813
1999.416667, 28.0644
1999.500000, 28.0542
1999.583333, 27.6338
1999.666667, 27.5813
1999.750000, 28.0423
1999.833333, 27.4491
1999.916667, 27.7847
2000.000000, 27.3406
2000.083333, 26.8254
2000.166667, 26.9762
2000.250000, 27.4152
2000.333333, 27.705
2000.416667, 28.6169
2000.500000, 27.4949
2000.583333, 27.9406
2000.666667, 27.5694
2000.750000, 28.0949
2000.833333, 27.9745
2000.916667, 27.7559
2001.000000, 27.5372
2001.083333, 26.9915
2001.166667, 27.2864
2001.250000, 27.6
2001.333333, 27.9711
2001.416667, 28.5406
2001.500000, 28.061
2001.583333, 28.222
2001.666667, 28.0508
2001.750000, 28.0796
2001.833333, 27.8288
2001.916667, 27.6559
2002.000000, 27.2966
2002.083333, 27.4728
2002.166667, 27.6474
2002.250000, 28.3491
2002.333333, 28.7474
2002.416667, 28.9372
2002.500000, 28.5406
2002.583333, 28.2372
2002.666667, 28.4728
2002.750000, 28.1423
2002.833333, 28.2067
2002.916667, 27.8389
2003.000000, 27.7762
2003.083333, 27.2288
2003.166667, 27.4745
2003.250000, 28.2677
2003.333333, 28.1101
2003.416667, 29.1813
2003.500000, 28.7966
2003.583333, 27.9186
2003.666667, 28.2288
2003.750000, 27.7288
2003.833333, 27.7813
2003.916667, 27.5932
2004.000000, 27.1525
2004.083333, 27.4152
2004.166667, 27.9372
2004.250000, 27.9254
2004.333333, 29.0186
2004.416667, 28.905
2004.500000, 28.8169
2004.583333, 27.2406
2004.666667, 28.2271
2004.750000, 27.8644
2004.833333, 27.9762
2004.916667, 27.7661
2005.000000, 27.3355
2005.083333, 27.1338
2005.166667, 28.7576
2005.250000, 28.6423
2005.333333, 28.7915
2005.416667, 28.5389
2005.500000, 28.5745
2005.583333, 27.8067
2005.666667, 28.2169
2005.750000, 28.3033
2005.833333, 27.8101
2005.916667, 27.7559
2006.000000, 27.7779
2006.083333, 27.0288
2006.166667, 27.8779
2006.250000, 28.4508
2006.333333, 27.8118
2006.416667, 28.1322
2006.500000, 27.683
2006.583333, 28.2118
2006.666667, 28.305
2006.750000, 28.1169
2006.833333, 28.4491
2006.916667, 27.7745
2007.000000, 27.2288
2007.083333, 27.0237
2007.166667, 27.5694
2007.250000, 27.7186
2007.333333, 28.2966
2007.416667, 28.3762
2007.500000, 28.2576
2007.583333, 27.5576
2007.666667, 27.7694
2007.750000, 27.9559
2007.833333, 28.0237
2007.916667, 27.4338
2008.000000, 27.1
2008.083333, 27.3271
2008.166667, 27.0745
2008.250000, 26.7372
2008.333333, 28.2491
2008.416667, 28.7762
2008.500000, 28.0423
2008.583333, 27.6355
2008.666667, 27.5813
2008.750000, 27.861
2008.833333, 27.8457
2008.916667, 27.7932
2009.000000, 27.4694
2009.083333, 27.2677
2009.166667, 27.6508
2009.250000, 27.4152
2009.333333, 28.6389
2009.416667, 28.744
2009.500000, 28.9016
2009.583333, 28.1084
2009.666667, 28.3305
2009.750000, 28.4118
2009.833333, 28.4847
2009.916667, 27.6847
2010.000000, 27.6355
2010.083333, 27.944
2010.166667, 28.2559
2010.250000, 28.7406
2010.333333, 28.7694
2010.416667, 29.2152
2010.500000, 28.1881
2010.583333, 27.5525
2010.666667, 27.9542
2010.750000, 28.1271
2010.833333, 28.4898
2010.916667, 27.8949
2011.000000, 27.3525
2011.083333, 26
2011.166667, 27.2474
2011.250000, 27.2932
2011.333333, 27.9322
2011.416667, 28.3694
2011.500000, 28.2084
2011.583333, 28.0864
2011.666667, 27.9796
2011.750000, 27.8694
2011.833333, 27.6423
2011.916667, 27.3186
2012.000000, 26.6711
2012.083333, 27.0169
2012.166667, 27.1677
2012.250000, 27.4355
2012.333333, 27.844
2012.416667, 28.3932
2012.500000, 28.5762
2012.583333, 27.6864
2012.666667, 27.8271
2012.750000, 28.1203
2012.833333, 28.0152
2012.916667, 27.3186
2013.000000, 27.0881
2013.083333, 27.1796
2013.166667, 26.722
2013.250000, 28.383
2013.333333, 28.5779
2013.416667, 28.4406
2013.500000, 29.0559
2013.583333, 28.022
2013.666667, 28.1644
2013.750000, 27.7711
2013.833333, 28.0152
2013.916667, 27.5796
2014.000000, 26.9474
2014.083333, 26.444
2014.166667, 27.722
2014.250000, 28.0389
2014.333333, 28.2423
2014.416667, 28.605
2014.500000, 28.883
2014.583333, 28.3254
2014.666667, 27.8694
2014.750000, 28.0152
2014.833333, 28.2
2014.916667, 27.4779
2015.000000, 27.0288
2015.083333, 26.7322
2015.166667, 27.2474
2015.250000, 28.0322
2015.333333, 28.4355
2015.416667, 28.7271
2015.500000, 28.7406
2015.583333, 28.6915
2015.666667, 28.522
2015.750000, 28.2711
2015.833333, 28.2644
2015.916667, 27.883
2016.000000, 27.6915
