year,temperature(c)
1982-10, 27.4
1983-10, 27.6
1984-10, 27.4
1985-10, 26.7
1986-10, 26.9
1987-10, 27.9
1988-10, 27.5
1989-10, 27.1
1990-10, 27.5
1991-10, 27.5
1992-10, 27.4
1993-10, 27.5
1994-10, 27.9
1995-10, 27.8
1996-10, 27.5
1997-10, 28.2
1998-10, 28
1999-10, 27.2
2000-10, 27.8
2001-10, 27.6
2002-10, 28.7
2003-10, 27.6
2004-10, 27.8
2005-10, 27.6
2006-10, 28.3
2007-10, 27.8
2008-10, 27.6
2009-10, 28.2
2010-10, 28.3
2011-10, 27.3
2012-10, 27.7
2013-10, 27.7
2014-10, 28.4
2015-10, 28.7
2016-10, 28.3
2017-10, 27.9
2018-10, 27.9
