year,temperature_prediction(c)
1982.000000, 25.9646
1983.000000, 25.9988
1984.000000, 26.033
1985.000000, 26.0672
1986.000000, 26.1014
1987.000000, 26.1356
1988.000000, 26.1698
1989.000000, 26.204
1990.000000, 26.2382
1991.000000, 26.2724
1992.000000, 26.3066
1993.000000, 26.3408
1994.000000, 26.375
1995.000000, 26.4091
1996.000000, 26.4433
1997.000000, 26.4775
1998.000000, 26.5117
1999.000000, 26.5459
2000.000000, 26.5801
2001.000000, 26.6143
2002.000000, 26.6485
2003.000000, 26.6827
2004.000000, 26.7169
2005.000000, 26.7511
2006.000000, 26.7853
2007.000000, 26.8195
2008.000000, 26.8537
2009.000000, 26.8879
2010.000000, 26.9221
2011.000000, 26.9563
2012.000000, 26.9905
2013.000000, 27.0247
2014.000000, 27.0589
2015.000000, 27.0931
2016.000000, 27.1273
2017.000000, 27.1615
2018.000000, 27.1956
2019.000000, 27.2298
2020.000000, 27.264
2021.000000, 27.2982
2022.000000, 27.3324
2023.000000, 27.3666
2024.000000, 27.4008
2025.000000, 27.435
2026.000000, 27.4692
2027.000000, 27.5034
2028.000000, 27.5376
2029.000000, 27.5718
2030.000000, 27.606
2031.000000, 27.6402
2032.000000, 27.6744
2033.000000, 27.7086
2034.000000, 27.7428
2035.000000, 27.777
2036.000000, 27.8112
2037.000000, 27.8454
2038.000000, 27.8796
2039.000000, 27.9138
2040.000000, 27.9479
2041.000000, 27.9821
2042.000000, 28.0163
2043.000000, 28.0505
2044.000000, 28.0847
2045.000000, 28.1189
2046.000000, 28.1531
2047.000000, 28.1873
2048.000000, 28.2215
2049.000000, 28.2557
2050.000000, 28.2899
