years,temperature(C)
1995.000000, 27.7242
1996.000000, 27.7382
1997.000000, 27.7523
1998.000000, 27.7663
1999.000000, 27.7803
2000.000000, 27.7944
2001.000000, 27.8084
2002.000000, 27.8224
2003.000000, 27.8365
2004.000000, 27.8505
2005.000000, 27.8645
2006.000000, 27.8786
2007.000000, 27.8926
2008.000000, 27.9066
2009.000000, 27.9207
2010.000000, 27.9347
2011.000000, 27.9487
2012.000000, 27.9628
2013.000000, 27.9768
2014.000000, 27.9909
2015.000000, 28.0049
2016.000000, 28.0189
2017.000000, 28.033
2018.000000, 28.047
2019.000000, 28.061
2020.000000, 28.0751
2021.000000, 28.0891
2022.000000, 28.1031
2023.000000, 28.1172
2024.000000, 28.1312
2025.000000, 28.1452
2026.000000, 28.1593
2027.000000, 28.1733
2028.000000, 28.1873
2029.000000, 28.2014
2030.000000, 28.2154
2031.000000, 28.2294
2032.000000, 28.2435
2033.000000, 28.2575
2034.000000, 28.2715
2035.000000, 28.2856
2036.000000, 28.2996
2037.000000, 28.3136
2038.000000, 28.3277
2039.000000, 28.3417
2040.000000, 28.3557
2041.000000, 28.3698
2042.000000, 28.3838
2043.000000, 28.3978
2044.000000, 28.4119
2045.000000, 28.4259
2046.000000, 28.4399
2047.000000, 28.454
2048.000000, 28.468
2049.000000, 28.482
2050.000000, 28.4961
2051.000000, 28.5101
2052.000000, 28.5241
2053.000000, 28.5382
2054.000000, 28.5522
2055.000000, 28.5663
