proc_num, id, total, comm, game
1, 0, 912.098, 0.000528993, 912.097
2, 0, 458.666, 0.794493, 457.872
4, 0, 250.273, 3.27518, 246.998
8, 0, 116.154, 0.725647, 115.428
16, 0, 58.2385, 0.444313, 57.794
32, 0, 29.4671, 0.46841, 28.9985
48, 0, 19.6208, 0.300964, 19.3196
66, 0, 14.3742, 0.309559, 14.0645
88, 0, 11.0952, 0.561275, 10.5338
100, 0, 9.57852, 0.295669, 9.28267
128, 0, 7.6973, 0.419743, 7.27739
158, 0, 6.56849, 0.697, 5.87132
182, 0, 5.47377, 0.390265, 5.08337
212, 0, 4.70557, 0.3293, 4.37612
240, 0, 4.13049, 0.265687, 3.86468
