proc_num, id, total, comm, game
1, 0, 625.671, 1.20646, 624.464
2, 0, 313.473, 1.24902, 312.224
4, 0, 171.307, 2.28051, 169.027
8, 0, 79.6287, 0.601917, 79.0267
16, 0, 39.9369, 0.316154, 39.6206
32, 0, 20.2355, 0.376847, 19.8584
48, 0, 13.4437, 0.215796, 13.2277
66, 0, 9.8667, 0.255423, 9.61112
88, 0, 7.45371, 0.211107, 7.24241
100, 0, 6.58935, 0.20782, 6.38137
128, 0, 5.25418, 0.258072, 4.99594
158, 0, 4.76667, 0.73284, 4.03367
182, 0, 3.7077, 0.219641, 3.4879
212, 0, 3.41451, 0.423265, 2.9911
240, 0, 3.16534, 0.529502, 2.63569
