proc_num, id, total, comm, game
1, 0, 625.671, 1.20646, 624.464
2, 0, 313.473, 1.24902, 312.224
3, 0, 209.876, 1.19157, 208.684
7, 0, 91.4691, 1.07297, 90.396
17, 0, 38.4187, 1.01591, 37.4026
31, 0, 21.4038, 0.99934, 20.4043
47, 0, 14.888, 1.31478, 13.573
67, 0, 10.6204, 1.05501, 9.56516
87, 0, 7.68528, 0.411015, 7.27408
101, 0, 7.43848, 1.13455, 6.30372
127, 0, 7.53499, 2.51616, 5.01861
157, 0, 6.66486, 2.59288, 4.07178
181, 0, 7.03133, 3.50661, 3.52452
211, 0, 6.79378, 3.4478, 3.34569
239, 0, 5.90098, 2.95996, 2.94079
