proc_num, id, total, comm, game, size
10, 0, 0.0673606, 0.0673265, 0.0466361, 250
10, 0, 0.152974, 0.0341909, 0.118497, 500
10, 0, 0.402797, 0.0389094, 0.363639, 1000
10, 0, 2.08636, 0.0815149, 2.00461, 2500
10, 0, 8.08645, 0.191682, 7.89454, 5000
10, 0, 18.0819, 0.321159, 17.7604, 7500
10, 0, 32.1707, 0.464851, 31.7055, 10000
10, 0, 49.9167, 0.59703, 49.3194, 12500
10, 0, 71.2946, 0.771343, 70.5229, 15000
10, 0, 97.4465, 0.885936, 96.5603, 17500
10, 0, 127.646, 1.13342, 126.512, 20000
10, 0, 160.168, 1.16435, 159.004, 22500
10, 0, 197.268, 1.41086, 195.857, 25000
10, 0, 240.104, 1.57244, 238.531, 27500
10, 0, 284.072, 1.7941, 282.278, 30000
10, 0, 333.842, 1.96335, 331.878, 32500
10, 0, 386.98, 2.07109, 384.908, 35000
10, 0, 443.413, 2.24114, 441.172, 37500
10, 0, 506.154, 2.25596, 503.898, 40000

