proc_num,id,total,comm,game,size
1, 0, 0.261779, 0.020055, 0.241487, 250
1, 0, 0.865932, 0.0340585, 0.831644, 500
1, 0, 3.21748, 0.0632106, 3.15406, 1000
1, 0, 19.7295, 0.164782, 19.5645, 2500
1, 0, 79.3092, 0.508133, 78.8005, 5000
1, 0, 176.592, 0.824061, 175.767, 7500
1, 0, 337.634, 1.17156, 336.462, 10000
1, 0, 489.122, 1.55103, 487.57, 12500
1, 0, 704.121, 1.8815, 702.238, 15000
1, 0, 957.104, 1.76576, 955.338, 17500
1, 0, 1250.48, 2.4079, 1248.08, 20000
1, 0, 1582.78, 2.26471, 1580.51, 22500
1, 0, 1959.27, 2.92431, 1956.35, 25000
1, 0, 2372.38, 2.74263, 2369.64, 27500
1, 0, 2826.68, 2.55012, 2824.13, 30000
1, 0, 3311.12, 3.75433, 3307.37, 32500
